bw_L1, 720.606079, bw_L2, 720.606079,bw_ratio, 1.500506,N:, 1, GPU_time, 777.941284, Naive_time, 629.620422, 
bw_L1, 702.352905, bw_L2, 702.352905,bw_ratio, 1.462498,N:, 2, GPU_time, 781.212708, Naive_time, 629.774109, 
bw_L1, 685.142883, bw_L2, 685.142883,bw_ratio, 1.426662,N:, 3, GPU_time, 784.484131, Naive_time, 629.927795, 
bw_L1, 668.888916, bw_L2, 668.888916,bw_ratio, 1.392816,N:, 4, GPU_time, 787.755493, Naive_time, 630.081482, 
bw_L1, 653.513489, bw_L2, 653.513489,bw_ratio, 1.360800,N:, 5, GPU_time, 791.026917, Naive_time, 630.235168, 
bw_L1, 638.947388, bw_L2, 638.947388,bw_ratio, 1.330469,N:, 6, GPU_time, 794.298279, Naive_time, 630.388855, 
bw_L1, 625.128174, bw_L2, 625.128174,bw_ratio, 1.301694,N:, 7, GPU_time, 797.569641, Naive_time, 630.542480, 
bw_L1, 612.000000, bw_L2, 612.000000,bw_ratio, 1.274357,N:, 8, GPU_time, 800.841125, Naive_time, 630.696167, 
bw_L1, 599.512207, bw_L2, 599.512207,bw_ratio, 1.248354,N:, 9, GPU_time, 804.112549, Naive_time, 630.849854, 
bw_L1, 587.619080, bw_L2, 587.619080,bw_ratio, 1.223589,N:, 10, GPU_time, 807.384033, Naive_time, 631.003540, 
bw_L1, 526.666626, bw_L2, 526.666626,bw_ratio, 1.096669,N:, 16, GPU_time, 827.012329, Naive_time, 631.925598, 
bw_L1, 740.000000, bw_L2, 740.000000,bw_ratio, 1.540890,N:, 32, GPU_time, 774.669861, Naive_time, 634.384460, 
bw_L1, 420.000000, bw_L2, 420.000000,bw_ratio, 0.142772,N:, 64, GPU_time, 1005.483948, Naive_time, 882.756714, 
bw_L1, 260.000000, bw_L2, 260.000000,bw_ratio, 0.088383,N:, 128, GPU_time, 2010.967896, Naive_time, 1765.513428, 
bw_L1, 180.000000, bw_L2, 180.000000,bw_ratio, 0.061188,N:, 256, GPU_time, 4021.935791, Naive_time, 3531.026855, 
bw_L1, 140.000000, bw_L2, 140.000000,bw_ratio, 0.047591,N:, 512, GPU_time, 8043.871582, Naive_time, 7062.053711, 
bw_L1, 120.000000, bw_L2, 20580.000000,bw_ratio, 6.995816,N:, 1024, GPU_time, 112546.890625, Naive_time, 14124.107422, 
bw_L1, 20580.000000, bw_L2, 20580.000000,bw_ratio, 6.995816,N:, 2048, GPU_time, 225093.781250, Naive_time, 28248.214844, 
bw_L1, 20580.000000, bw_L2, 20580.000000,bw_ratio, 6.995816,N:, 4096, GPU_time, 450187.562500, Naive_time, 56496.429688, 
bw_L1, 20580.000000, bw_L2, 20580.000000,bw_ratio, 6.995816,N:, 8192, GPU_time, 900375.125000, Naive_time, 112992.859375, 
bw_L1, 20580.000000, bw_L2, 20580.000000,bw_ratio, 6.995816,N:, 16384, GPU_time, 1800750.250000, Naive_time, 225985.718750, 
