bw_L1, 945.606079, bw_L2, 945.606079,bw_ratio, 1.969020,N:, 1, GPU_time, 41.667080, Naive_time, 25.717611, 
bw_L1, 927.352905, bw_L2, 927.352905,bw_ratio, 1.931012,N:, 2, GPU_time, 42.101044, Naive_time, 25.742701, 
bw_L1, 910.142883, bw_L2, 910.142883,bw_ratio, 1.895175,N:, 3, GPU_time, 42.535000, Naive_time, 25.767792, 
bw_L1, 893.888916, bw_L2, 893.888916,bw_ratio, 1.861330,N:, 4, GPU_time, 42.968971, Naive_time, 25.792883, 
bw_L1, 878.513489, bw_L2, 878.513489,bw_ratio, 1.829314,N:, 5, GPU_time, 43.402927, Naive_time, 25.817972, 
bw_L1, 863.947388, bw_L2, 863.947388,bw_ratio, 1.798983,N:, 6, GPU_time, 43.836891, Naive_time, 25.843063, 
bw_L1, 850.128174, bw_L2, 850.128174,bw_ratio, 1.770208,N:, 7, GPU_time, 44.270851, Naive_time, 25.868153, 
bw_L1, 837.000000, bw_L2, 837.000000,bw_ratio, 1.742871,N:, 8, GPU_time, 44.704819, Naive_time, 25.893244, 
bw_L1, 824.512207, bw_L2, 824.512207,bw_ratio, 1.716868,N:, 9, GPU_time, 45.138775, Naive_time, 25.918333, 
bw_L1, 812.619080, bw_L2, 812.619080,bw_ratio, 1.692103,N:, 10, GPU_time, 45.572735, Naive_time, 25.943424, 
bw_L1, 751.666626, bw_L2, 751.666626,bw_ratio, 1.565183,N:, 16, GPU_time, 48.176521, Naive_time, 26.093966, 
bw_L1, 965.000000, bw_L2, 965.000000,bw_ratio, 2.009403,N:, 32, GPU_time, 41.233112, Naive_time, 26.495413, 
bw_L1, 645.000000, bw_L2, 645.000000,bw_ratio, 0.219257,N:, 64, GPU_time, 41.040157, Naive_time, 36.027206, 
bw_L1, 485.000000, bw_L2, 485.000000,bw_ratio, 0.164867,N:, 128, GPU_time, 82.080315, Naive_time, 72.054413, 
bw_L1, 405.000000, bw_L2, 480.000000,bw_ratio, 0.163168,N:, 256, GPU_time, 164.160629, Naive_time, 144.108826, 
bw_L1, 440.000000, bw_L2, 440.000000,bw_ratio, 0.149570,N:, 512, GPU_time, 328.321259, Naive_time, 288.217651, 
bw_L1, 420.000000, bw_L2, 420.000000,bw_ratio, 0.142772,N:, 1024, GPU_time, 656.642517, Naive_time, 576.435303, 
bw_L1, 410.000000, bw_L2, 410.000000,bw_ratio, 0.139372,N:, 2048, GPU_time, 1313.285034, Naive_time, 1152.870605, 
bw_L1, 405.000000, bw_L2, 20880.000000,bw_ratio, 7.097796,N:, 4096, GPU_time, 18642.859375, Naive_time, 2305.741211, 
bw_L1, 20880.000000, bw_L2, 20880.000000,bw_ratio, 7.097796,N:, 8192, GPU_time, 37285.718750, Naive_time, 4611.482422, 
bw_L1, 20880.000000, bw_L2, 20880.000000,bw_ratio, 7.097796,N:, 16384, GPU_time, 74571.437500, Naive_time, 9222.964844, 
